2021-02-14 07:58:12.236 The Virtual Hub is now online.
2021-02-14 08:10:28.824 Administration mode [RPC-27] (Virtual Hub "warHub"): User "test01" has been created.
2021-02-14 08:11:27.391 Administration mode [RPC-27] (Virtual Hub "warHub"): The Virtual Hub setting has been changed.
2021-02-14 08:11:50.999 Administration mode [RPC-27] (Virtual Hub "warHub"): The SecureNAT function has been enabled.
2021-02-14 08:11:50.999 SecureNAT has started. The SecureNAT session "SID-SECURENAT-1" was created.
2021-02-14 08:11:59.110 SecureNAT: It has been detected that the Kernel-mode NAT for SecureNAT can be run on the interface "ipv4_rawsocket_virtual_router". The Kernel-mode NAT is starting. The TCP, UDP and ICMP NAT processings will be performed with high-performance via Kernel-Mode hereafter. The parameters of Kernel-mode NAT: IP Address = "10.171.7.254", Subnet Mask = "255.255.255.252", Default Gateway = "10.171.7.253", Broadcast Address = "10.171.7.255", Virtual MAC Address: "DA-22-59-63-5E-69", DHCP Server Address: "10.171.7.253", DNS Server Address: "8.8.8.8"
2021-02-14 08:13:25.958 The connection "CID-40" (IP address: 111.37.52.187, Host name: 111.37.52.187, Port number: 13569, Client name: "SoftEther VPN Client", Version: 4.34, Build: 9745) is attempting to connect to the Virtual Hub. The auth type provided is "Password authentication" and the user name is "test01".
2021-02-14 08:13:25.958 Connection "CID-40": Successfully authenticated as user "test01".
2021-02-14 08:13:25.969 Connection "CID-40": The new session "SID-TEST01-2" has been created. (IP address: 111.37.52.187, Port number: 13569, Physical underlying protocol: "Standard TCP/IP (IPv4)")
2021-02-14 08:13:25.969 Session "SID-TEST01-2": The parameter has been set. Max number of TCP connections: 32, Use of encryption: Yes, Use of compression: Yes, Use of Half duplex communication: No, Timeout: 20 seconds.
2021-02-14 08:13:25.969 Session "SID-TEST01-2": VPN Client details: (Client product name: "SoftEther VPN Client", Client version: 434, Client build number: 9745, Server product name: "SoftEther VPN Server (64 bit)", Server version: 434, Server build number: 9745, Client OS name: "Windows 10", Client OS version: "Build 19042, Multiprocessor Free (19041.vb_release.191206-1406)", Client product ID: "--", Client host name: "SuperNu1L", Client IP address: "192.168.1.6", Client port number: 50352, Server host name: "47.105.97.41", Server IP address: "47.105.97.41", Server port number: 443, Proxy host name: "", Proxy IP address: "0.0.0.0", Proxy port number: 0, Virtual Hub name: "warHub", Client unique ID: "695D6FD09FAC54A2E5A3A35CF0572E38")
2021-02-14 08:13:26.232 SecureNAT: The DHCP entry 1 has been created. MAC address: 5E-7E-92-01-A2-DA, IP address: 192.168.30.10, host name: SuperNu1L, expiration span: 7200 seconds
2021-02-14 08:13:26.232 Session "SID-SECURENAT-1": The DHCP server of host "5E-49-A5-C5-4C-03" (192.168.30.1) on this session allocated, for host "SID-TEST01-2" on another session "5E-7E-92-01-A2-DA", the new IP address 192.168.30.10.
2021-02-14 08:13:26.272 SecureNAT: The UDP session 1 has been created. Connection source 192.168.30.10:137, Connection destination 255.255.255.255:137
2021-02-14 08:13:26.303 SecureNAT: The UDP session 3 has been created. Connection source 192.168.30.10:49665, Connection destination 255.255.255.255:3702
2021-02-14 08:13:26.464 SecureNAT: The UDP session 4 has been created. Connection source 192.168.30.10:55100, Connection destination 192.168.30.1:53
2021-02-14 08:13:26.494 SecureNAT: The UDP session 5 has been created. Connection source 192.168.30.10:50701, Connection destination 255.255.255.255:1900
2021-02-14 08:13:26.736 SecureNAT: The UDP session 6 has been created. Connection source 192.168.30.10:49436, Connection destination 192.168.30.1:53
2021-02-14 08:13:26.736 SecureNAT: The UDP session 7 has been created. Connection source 192.168.30.10:55403, Connection destination 192.168.30.1:53
2021-02-14 08:13:26.757 SecureNAT: The UDP session 8 has been created. Connection source 192.168.30.10:51053, Connection destination 192.168.30.1:53
2021-02-14 08:13:26.757 SecureNAT: The UDP session 9 has been created. Connection source 192.168.30.10:58572, Connection destination 192.168.30.1:53
2021-02-14 08:13:26.767 SecureNAT: The TCP session 10 has been created. Connection source 192.168.30.10:50357, Connection destination 130.158.75.46:80
2021-02-14 08:13:26.837 SecureNAT: The UDP session 11 has been created. Connection source 192.168.30.10:26638, Connection destination 130.158.6.111:5004
2021-02-14 08:13:26.837 SecureNAT: The UDP session 12 has been created. Connection source 192.168.30.10:64767, Connection destination 192.168.30.1:53
2021-02-14 08:13:26.847 SecureNAT: The UDP session 13 has been created. Connection source 192.168.30.10:61794, Connection destination 192.168.30.1:53
2021-02-14 08:13:26.868 SecureNAT: The TCP session 14 has been created. Connection source 192.168.30.10:50358, Connection destination 184.50.87.42:80
2021-02-14 08:13:26.938 SecureNAT: The UDP session 15 has been created. Connection source 192.168.30.10:54800, Connection destination 192.168.30.1:53
2021-02-14 08:13:26.938 SecureNAT: The UDP session 16 has been created. Connection source 192.168.30.10:53952, Connection destination 192.168.30.1:53
2021-02-14 08:13:26.948 SecureNAT: The UDP session 17 has been created. Connection source 192.168.30.10:49957, Connection destination 192.168.30.1:53
2021-02-14 08:13:26.968 SecureNAT: The UDP session 18 has been created. Connection source 192.168.30.10:63668, Connection destination 192.168.30.1:53
2021-02-14 08:13:27.019 SecureNAT: The UDP session 19 has been created. Connection source 192.168.30.10:51588, Connection destination 192.168.30.1:53
2021-02-14 08:13:27.019 SecureNAT: The UDP session 20 has been created. Connection source 192.168.30.10:58454, Connection destination 192.168.30.1:53
2021-02-14 08:13:27.019 SecureNAT: The UDP session 21 has been created. Connection source 192.168.30.10:50017, Connection destination 192.168.30.1:53
2021-02-14 08:13:27.019 SecureNAT: The UDP session 22 has been created. Connection source 192.168.30.10:59660, Connection destination 192.168.30.1:53
2021-02-14 08:13:27.029 SecureNAT: The TCP session 23 has been created. Connection source 192.168.30.10:50360, Connection destination 34.107.221.82:80
2021-02-14 08:13:27.029 SecureNAT: The TCP session 24 has been created. Connection source 192.168.30.10:50361, Connection destination 34.107.221.82:80
2021-02-14 08:13:27.029 SecureNAT: The UDP session 25 has been created. Connection source 192.168.30.10:56346, Connection destination 192.168.30.1:53
2021-02-14 08:13:27.110 SecureNAT: The TCP session 26 has been created. Connection source 192.168.30.10:50362, Connection destination 13.107.4.52:80
2021-02-14 08:13:27.261 SecureNAT: The UDP session 27 has been created. Connection source 192.168.30.10:63402, Connection destination 192.168.30.1:53
2021-02-14 08:13:27.271 SecureNAT: The TCP session 28 has been created. Connection source 192.168.30.10:50364, Connection destination 40.119.211.203:443
2021-02-14 08:13:27.455 SecureNAT: The UDP session 32 has been created. Connection source 192.168.30.10:61529, Connection destination 192.168.30.1:53
2021-02-14 08:13:27.455 SecureNAT: The TCP session 33 has been created. Connection source 192.168.30.10:50365, Connection destination 34.107.221.82:80
2021-02-14 08:13:28.030 SecureNAT: The UDP session 34 has been created. Connection source 192.168.30.10:59244, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.030 SecureNAT: The UDP session 35 has been created. Connection source 192.168.30.10:50780, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.030 SecureNAT: The UDP session 36 has been created. Connection source 192.168.30.10:49920, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.030 SecureNAT: The UDP session 37 has been created. Connection source 192.168.30.10:51191, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.030 SecureNAT: The UDP session 38 has been created. Connection source 192.168.30.10:59407, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.030 SecureNAT: The UDP session 39 has been created. Connection source 192.168.30.10:62350, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.030 SecureNAT: The UDP session 40 has been created. Connection source 192.168.30.10:60281, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.030 SecureNAT: The UDP session 41 has been created. Connection source 192.168.30.10:60439, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.050 SecureNAT: The UDP session 42 has been created. Connection source 192.168.30.10:54681, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.050 SecureNAT: The UDP session 43 has been created. Connection source 192.168.30.10:64594, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.050 SecureNAT: The UDP session 44 has been created. Connection source 192.168.30.10:59408, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.050 SecureNAT: The UDP session 45 has been created. Connection source 192.168.30.10:52864, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.060 SecureNAT: The UDP session 46 has been created. Connection source 192.168.30.10:52476, Connection destination 192.168.30.1:53
2021-02-14 08:13:28.293 Session "SID-TEST01-2": A large volume of broadcast packets has been detected. There are cases where packets are discarded based on the policy. The source MAC address is 5E-7E-92-01-A2-DA, the source IP address is 192.168.30.10, the destination IP address is 224.0.0.251. The number of broadcast packets is equal to or larger than 40 items per 1 second (note this information is the result of mechanical analysis of part of the packets and could be incorrect).
2021-02-14 08:13:28.293 Session "SID-TEST01-2": A large volume of broadcast packets has been detected. There are cases where packets are discarded based on the policy. The source MAC address is 5E-7E-92-01-A2-DA, the source IP address is fe80::ed5a:c3ff:900f:6933, the destination IP address is ff02::fb. The number of broadcast packets is equal to or larger than 40 items per 1 second (note this information is the result of mechanical analysis of part of the packets and could be incorrect).
2021-02-14 08:13:28.798 SecureNAT: The UDP session 48 has been created. Connection source 192.168.30.10:50088, Connection destination 255.255.255.255:1900
